party,press_release,claim_number,chars,words
Republican,assemblyman-hoover-responds-to-governor-newsoms-counterproductive-return-to-office-mandate.txt,4,89,9
Republican,assemblyman-hoover-responds-to-governor-newsoms-counterproductive-return-to-office-mandate.txt,5,91,9
Republican,assemblyman-hoover-responds-to-governor-newsoms-counterproductive-return-to-office-mandate.txt,6,81,11
Republican,assemblyman-hoover-responds-to-governor-newsoms-counterproductive-return-to-office-mandate.txt,7,50,6
Republican,assemblyman-hoover-responds-to-governor-newsoms-counterproductive-return-to-office-mandate.txt,8,77,10
Republican,assemblyman-hoovers-legislation-to-combat-fentanyl-in-schools-approved-by-public-safety-committee.txt,1,45,5
Republican,assemblyman-hoovers-legislation-to-combat-fentanyl-in-schools-approved-by-public-safety-committee.txt,2,45,6
Republican,assemblyman-hoovers-legislation-to-combat-fentanyl-in-schools-approved-by-public-safety-committee.txt,3,78,8
Republican,assemblyman-hoovers-legislation-to-combat-fentanyl-in-schools-approved-by-public-safety-committee.txt,4,67,7
Republican,assemblyman-hoovers-legislation-to-combat-fentanyl-in-schools-approved-by-public-safety-committee.txt,5,82,8
Republican,assemblyman-jeff-gonzalez-statement-on-ab-1016-advancing-out-of-committee.txt,1,99,10
Republican,assemblyman-jeff-gonzalez-statement-on-ab-1016-advancing-out-of-committee.txt,2,58,6
Republican,assemblyman-jeff-gonzalez-statement-on-ab-1016-advancing-out-of-committee.txt,3,90,10
Republican,assemblyman-jeff-gonzalez-statement-on-ab-1016-advancing-out-of-committee.txt,4,76,6
Republican,assemblyman-jeff-gonzalez-statement-on-ab-1016-advancing-out-of-committee.txt,5,139,16
Republican,assemblyman-jeff-gonzalez-statement-on-ab-1016-advancing-out-of-committee.txt,6,77,7
Republican,assemblyman-jeff-gonzalez-statement-on-ab-1016-advancing-out-of-committee.txt,7,107,9
Republican,assemblyman-tri-ta-introduces-bill-to-correct-racial-targeting-in-state-employment-law.txt,1,150,14
Republican,assemblyman-tri-ta-introduces-bill-to-correct-racial-targeting-in-state-employment-law.txt,2,38,3
Republican,assemblyman-tri-ta-introduces-bill-to-correct-racial-targeting-in-state-employment-law.txt,3,107,11
Republican,assemblyman-tri-ta-introduces-bill-to-correct-racial-targeting-in-state-employment-law.txt,4,51,5
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,1,29,3
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,2,110,10
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,3,94,11
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,4,98,9
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,5,143,13
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,6,92,10
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,7,103,14
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,8,135,15
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,9,93,11
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,10,149,15
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,11,126,14
Republican,assemblymember-davies-announces-bill-to-prevent-child-drownings.txt,12,125,15
Republican,costly-new-mandate-scaqmd-will-hurt-californians-warns-senator-strickland.txt,1,139,16
Republican,costly-new-mandate-scaqmd-will-hurt-californians-warns-senator-strickland.txt,2,110,11
Republican,costly-new-mandate-scaqmd-will-hurt-californians-warns-senator-strickland.txt,3,76,7
Republican,costly-new-mandate-scaqmd-will-hurt-californians-warns-senator-strickland.txt,4,126,14
Republican,costly-new-mandate-scaqmd-will-hurt-californians-warns-senator-strickland.txt,5,119,12
Republican,demaio-introduces-california-energy-consumer-freedom-act-to-prohibit-gas-appliance-bans-and-ev-mandates.txt,1,162,17
Republican,demaio-introduces-california-energy-consumer-freedom-act-to-prohibit-gas-appliance-bans-and-ev-mandates.txt,2,142,12
Republican,demaio-introduces-california-energy-consumer-freedom-act-to-prohibit-gas-appliance-bans-and-ev-mandates.txt,3,116,12
Republican,demaio-introduces-california-energy-consumer-freedom-act-to-prohibit-gas-appliance-bans-and-ev-mandates.txt,4,129,15
Republican,demaio-introduces-california-energy-consumer-freedom-act-to-prohibit-gas-appliance-bans-and-ev-mandates.txt,5,137,14
Republican,democrats-kill-gun-reform-legislation.txt,1,119,12
Republican,democrats-kill-gun-reform-legislation.txt,2,126,13
Republican,democrats-kill-gun-reform-legislation.txt,3,198,18
Republican,democrats-kill-gun-reform-legislation.txt,4,146,15
Republican,democrats-kill-gun-reform-legislation.txt,5,46,5
Republican,fresno-bee-truly-green-energy-policy-would-support-oil-production-california.txt,1,80,9
Republican,fresno-bee-truly-green-energy-policy-would-support-oil-production-california.txt,2,64,7
Republican,fresno-bee-truly-green-energy-policy-would-support-oil-production-california.txt,3,83,9
Republican,fresno-bee-truly-green-energy-policy-would-support-oil-production-california.txt,4,101,11
Republican,fresno-bee-truly-green-energy-policy-would-support-oil-production-california.txt,5,68,9
Republican,fresno-bee-truly-green-energy-policy-would-support-oil-production-california.txt,6,76,8
Republican,fresno-bee-truly-green-energy-policy-would-support-oil-production-california.txt,7,46,4
Republican,fresno-bee-truly-green-energy-policy-would-support-oil-production-california.txt,8,87,8
Republican,fresno-bee-truly-green-energy-policy-would-support-oil-production-california.txt,9,63,6
Republican,gallagher-beale-chosen-for-air-force-drone-program-big-win-for-the-north-state.txt,1,134,17
Republican,gallagher-beale-chosen-for-air-force-drone-program-big-win-for-the-north-state.txt,2,121,13
Republican,gallagher-beale-chosen-for-air-force-drone-program-big-win-for-the-north-state.txt,3,113,14
Republican,gallagher-beale-chosen-for-air-force-drone-program-big-win-for-the-north-state.txt,4,93,9
Republican,gallagher-beale-chosen-for-air-force-drone-program-big-win-for-the-north-state.txt,5,85,11
Republican,gallagher-calls-for-independent-analysis-of-democrats-health-care-takeover-01-11-2022.txt,1,82,10
Republican,gallagher-calls-for-independent-analysis-of-democrats-health-care-takeover-01-11-2022.txt,2,60,8
Republican,gallagher-calls-for-independent-analysis-of-democrats-health-care-takeover-01-11-2022.txt,3,95,11
Republican,gallagher-calls-for-independent-analysis-of-democrats-health-care-takeover-01-11-2022.txt,4,81,9
Republican,gallagher-calls-for-independent-analysis-of-democrats-health-care-takeover-01-11-2022.txt,5,57,7
Republican,gallagher-calls-for-independent-analysis-of-democrats-health-care-takeover-01-11-2022.txt,6,86,8
Republican,gallagher-responds-to-announcement-of-new-vaccine-legislation-01-24-2022.txt,1,63,5
Republican,gallagher-responds-to-announcement-of-new-vaccine-legislation-01-24-2022.txt,2,59,7
Republican,gallagher-responds-to-announcement-of-new-vaccine-legislation-01-24-2022.txt,3,87,7
Republican,gallagher-responds-to-announcement-of-new-vaccine-legislation-01-24-2022.txt,4,82,10
Republican,gallagher-responds-to-announcement-of-new-vaccine-legislation-01-24-2022.txt,5,73,9
Republican,gallagher-responds-to-announcement-of-new-vaccine-legislation-01-24-2022.txt,6,73,8
Republican,gallagher-responds-to-announcement-of-new-vaccine-legislation-01-24-2022.txt,7,74,8
Republican,gallagher-responds-to-announcement-of-new-vaccine-legislation-01-24-2022.txt,8,69,8
Republican,gallagher-responds-to-announcement-of-new-vaccine-legislation-01-24-2022.txt,9,76,9
Republican,gallagher-responds-to-announcement-of-new-vaccine-legislation-01-24-2022.txt,10,90,10
Republican,gallagher-responds-to-announcement-of-new-vaccine-legislation-01-24-2022.txt,11,95,10
Republican,gallagher-statement-on-soaring-budget-deficit.txt,1,52,6
Republican,gallagher-statement-on-soaring-budget-deficit.txt,2,61,8
Republican,gallagher-statement-on-soaring-budget-deficit.txt,3,79,8
Republican,gallagher-statement-on-soaring-budget-deficit.txt,4,77,8
Republican,gallagher-statement-on-soaring-budget-deficit.txt,5,69,5
Republican,gallagher-statement-on-soaring-budget-deficit.txt,6,44,5
Republican,gallagher-statement-on-soaring-budget-deficit.txt,7,45,4
Republican,gallagher-trump-is-right-california-is-failing-girls-sports.txt,1,67,7
Republican,gallagher-trump-is-right-california-is-failing-girls-sports.txt,2,82,9
Republican,gallagher-trump-is-right-california-is-failing-girls-sports.txt,3,125,12
Republican,governor-newsom-signs-tri-tas-legislation-to-reform-hoa-elections-and-protect-homeowners-rights.txt,1,63,6
Republican,governor-newsom-signs-tri-tas-legislation-to-reform-hoa-elections-and-protect-homeowners-rights.txt,2,99,13
Republican,governor-newsom-signs-tri-tas-legislation-to-reform-hoa-elections-and-protect-homeowners-rights.txt,3,130,11
Republican,governor-newsom-signs-tri-tas-legislation-to-reform-hoa-elections-and-protect-homeowners-rights.txt,4,116,12
Republican,governor-newsom-signs-tri-tas-legislation-to-reform-hoa-elections-and-protect-homeowners-rights.txt,5,113,12
Republican,icymi-cnn-chyron-what-in-gods-name-is-going-on-with-gavin-newsom.txt,1,86,9
Republican,icymi-cnn-chyron-what-in-gods-name-is-going-on-with-gavin-newsom.txt,2,103,12
Republican,icymi-cnn-chyron-what-in-gods-name-is-going-on-with-gavin-newsom.txt,3,87,10
Republican,icymi-cnn-chyron-what-in-gods-name-is-going-on-with-gavin-newsom.txt,4,115,12
Republican,icymi-cnn-chyron-what-in-gods-name-is-going-on-with-gavin-newsom.txt,5,107,9
Republican,icymi-democrats-turn-special-session-into-partisan-show.txt,1,119,10
Republican,icymi-democrats-turn-special-session-into-partisan-show.txt,2,59,5
Republican,icymi-democrats-turn-special-session-into-partisan-show.txt,3,129,14
Republican,icymi-democrats-turn-special-session-into-partisan-show.txt,4,89,10
Republican,icymi-democrats-turn-special-session-into-partisan-show.txt,5,78,6
Republican,icymi-democrats-turn-special-session-into-partisan-show.txt,6,88,9
Republican,lackey-introduces-legislation-to-address-critical-court-reporter-shortage-and-ensure-litigants-access-to-justice.txt,1,120,12
Republican,lackey-introduces-legislation-to-address-critical-court-reporter-shortage-and-ensure-litigants-access-to-justice.txt,2,164,19
Republican,lackey-introduces-legislation-to-address-critical-court-reporter-shortage-and-ensure-litigants-access-to-justice.txt,3,153,15
Republican,lackey-introduces-legislation-to-address-critical-court-reporter-shortage-and-ensure-litigants-access-to-justice.txt,4,108,10
Republican,lackey-introduces-legislation-to-address-critical-court-reporter-shortage-and-ensure-litigants-access-to-justice.txt,5,110,11
Republican,lackey-introduces-legislation-to-address-critical-court-reporter-shortage-and-ensure-litigants-access-to-justice.txt,6,126,12
Republican,lackey-introduces-legislation-to-address-critical-court-reporter-shortage-and-ensure-litigants-access-to-justice.txt,7,100,13
Republican,lackey-introduces-legislation-to-address-critical-court-reporter-shortage-and-ensure-litigants-access-to-justice.txt,8,112,13
Republican,lackey-introduces-legislation-to-address-critical-court-reporter-shortage-and-ensure-litigants-access-to-justice.txt,9,135,16
Republican,lawmakers-parents-coaches-celebrate-veto-announcement-of-youth-football-ban.txt,1,118,13
Republican,lawmakers-parents-coaches-celebrate-veto-announcement-of-youth-football-ban.txt,2,65,7
Republican,lawmakers-parents-coaches-celebrate-veto-announcement-of-youth-football-ban.txt,3,112,12
Republican,lawmakers-parents-coaches-celebrate-veto-announcement-of-youth-football-ban.txt,4,133,12
Republican,lawmakers-parents-coaches-celebrate-veto-announcement-of-youth-football-ban.txt,5,107,12
Republican,leader-jones-warns-californians-brace-skyrocketing-gas-prices.txt,1,160,15
Republican,leader-jones-warns-californians-brace-skyrocketing-gas-prices.txt,2,94,12
Republican,leader-jones-warns-californians-brace-skyrocketing-gas-prices.txt,3,87,12
Republican,leader-jones-warns-californians-brace-skyrocketing-gas-prices.txt,4,96,12
Republican,leader-jones-warns-californians-brace-skyrocketing-gas-prices.txt,5,118,13
Republican,legislative-republicans-call-on-newsom-administration-to-be-honest-about-new-regulations-costs-for-consumers.txt,1,149,16
Republican,legislative-republicans-call-on-newsom-administration-to-be-honest-about-new-regulations-costs-for-consumers.txt,2,145,13
Republican,legislative-republicans-call-on-newsom-administration-to-be-honest-about-new-regulations-costs-for-consumers.txt,3,90,9
Republican,legislative-republicans-call-on-newsom-administration-to-be-honest-about-new-regulations-costs-for-consumers.txt,4,92,11
Republican,legislative-republicans-call-on-newsom-administration-to-be-honest-about-new-regulations-costs-for-consumers.txt,5,112,13
Republican,legislative-republicans-call-on-newsom-administration-to-be-honest-about-new-regulations-costs-for-consumers.txt,6,93,8
Republican,legislative-republicans-join-law-enforcement-advocates-to-stand-up-for-public-safety.txt,1,54,6
Republican,legislative-republicans-join-law-enforcement-advocates-to-stand-up-for-public-safety.txt,2,98,11
Republican,legislative-republicans-join-law-enforcement-advocates-to-stand-up-for-public-safety.txt,3,64,6
Republican,legislative-republicans-join-law-enforcement-advocates-to-stand-up-for-public-safety.txt,4,79,9
Republican,legislative-republicans-join-law-enforcement-advocates-to-stand-up-for-public-safety.txt,5,158,14
Republican,proyecto-de-ley-apoyando-programas-preescolares-de-participacion-de-padres-supera-el-primer.txt,1,93,9
Republican,proyecto-de-ley-apoyando-programas-preescolares-de-participacion-de-padres-supera-el-primer.txt,2,153,16
Republican,proyecto-de-ley-apoyando-programas-preescolares-de-participacion-de-padres-supera-el-primer.txt,3,154,18
Republican,proyecto-de-ley-apoyando-programas-preescolares-de-participacion-de-padres-supera-el-primer.txt,4,132,15
Republican,sen-marie-alvarado-gil-prioritizes-wildfire-resiliency-rural-issues-2025-legislative.txt,1,83,8
Republican,sen-marie-alvarado-gil-prioritizes-wildfire-resiliency-rural-issues-2025-legislative.txt,2,95,11
Republican,sen-marie-alvarado-gil-prioritizes-wildfire-resiliency-rural-issues-2025-legislative.txt,3,144,12
Republican,sen-marie-alvarado-gil-prioritizes-wildfire-resiliency-rural-issues-2025-legislative.txt,4,101,11
Republican,sen-marie-alvarado-gil-prioritizes-wildfire-resiliency-rural-issues-2025-legislative.txt,5,109,12
Republican,sen-marie-alvarado-gil-prioritizes-wildfire-resiliency-rural-issues-2025-legislative.txt,6,113,12
Republican,sen-marie-alvarado-gil-prioritizes-wildfire-resiliency-rural-issues-2025-legislative.txt,7,154,15
Republican,senate-bill-268-passes-assembly-floor-now-one-step-closer-becoming-law.txt,1,127,14
Republican,senate-bill-268-passes-assembly-floor-now-one-step-closer-becoming-law.txt,2,91,9
Republican,senate-bill-268-passes-assembly-floor-now-one-step-closer-becoming-law.txt,3,159,16
Republican,senate-bill-268-passes-assembly-floor-now-one-step-closer-becoming-law.txt,4,72,9
Republican,senate-bill-268-passes-assembly-floor-now-one-step-closer-becoming-law.txt,5,126,11
Republican,senate-minority-leader-jones-announces-bipartisan-agreement-audit-liberty-healthcares-state.txt,1,186,20
Republican,senate-minority-leader-jones-announces-bipartisan-agreement-audit-liberty-healthcares-state.txt,2,94,9
Republican,senate-minority-leader-jones-senator-blakespear-influencer-ricci-wynne-and-others-announce.txt,1,78,8
Republican,senate-minority-leader-jones-senator-blakespear-influencer-ricci-wynne-and-others-announce.txt,2,65,6
Republican,senate-minority-leader-jones-senator-blakespear-influencer-ricci-wynne-and-others-announce.txt,3,78,9
Republican,senate-minority-leader-jones-senator-blakespear-influencer-ricci-wynne-and-others-announce.txt,4,106,13
Republican,senate-minority-leader-jones-senator-blakespear-influencer-ricci-wynne-and-others-announce.txt,5,116,13
Republican,senator-brian-jones-votes-against-sb-467.txt,1,56,8
Republican,senator-brian-jones-votes-against-sb-467.txt,2,83,12
Republican,senator-brian-jones-votes-against-sb-467.txt,3,67,10
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,1,124,14
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,2,124,14
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,3,91,10
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,4,110,11
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,5,112,12
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,6,135,14
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,7,102,12
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,8,87,8
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,9,110,11
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,10,72,7
Republican,senator-grove-introduces-bill-fight-against-human-trafficking.txt,11,72,7
Republican,senator-grove-reintroduces-bill-prioritize-california-oil-production.txt,1,97,9
Republican,senator-grove-reintroduces-bill-prioritize-california-oil-production.txt,2,112,12
Republican,senator-grove-reintroduces-bill-prioritize-california-oil-production.txt,3,140,15
Republican,senator-grove-reintroduces-bill-prioritize-california-oil-production.txt,4,117,15
Republican,senator-grove-reintroduces-bill-prioritize-california-oil-production.txt,5,118,13
Republican,senator-grove-reintroduces-bill-prioritize-california-oil-production.txt,6,98,11
Republican,senator-grove-reintroduces-bill-prioritize-california-oil-production.txt,7,158,17
Republican,senator-grove-reintroduces-bill-prioritize-california-oil-production.txt,8,115,12
Republican,senator-grove-reintroduces-bill-prioritize-california-oil-production.txt,9,120,13
Republican,senator-niellos-bill-ditch-switch-be-heard-tuesdays-senate-energy-committee-hearing.txt,1,167,17
Republican,senator-niellos-bill-ditch-switch-be-heard-tuesdays-senate-energy-committee-hearing.txt,2,98,11
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,1,112,12
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,2,112,10
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,3,119,12
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,4,92,10
Republican,senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,5,104,11
Republican,senator-ochoa-bogh-announces-funding-agricultural-conservation-management.txt,1,136,14
Republican,senator-ochoa-bogh-announces-funding-agricultural-conservation-management.txt,2,119,11
Republican,senator-ochoa-bogh-announces-funding-agricultural-conservation-management.txt,3,122,11
Republican,senator-ochoa-bogh-announces-funding-agricultural-conservation-management.txt,4,125,13
Republican,senator-strickland-recognizes-pacific-marine-mammal-center-senate-district-36th-non-profit.txt,1,127,15
Republican,senator-strickland-recognizes-pacific-marine-mammal-center-senate-district-36th-non-profit.txt,2,82,9
Republican,senator-strickland-recognizes-pacific-marine-mammal-center-senate-district-36th-non-profit.txt,3,48,6
Republican,senator-strickland-recognizes-pacific-marine-mammal-center-senate-district-36th-non-profit.txt,4,66,7
Republican,senator-valladares-bills-improve-affordability-increase-public-safety-and-expand.txt,1,91,10
Republican,senator-valladares-bills-improve-affordability-increase-public-safety-and-expand.txt,2,115,11
Republican,senator-valladares-bills-improve-affordability-increase-public-safety-and-expand.txt,3,159,15
Republican,senator-valladares-bills-improve-affordability-increase-public-safety-and-expand.txt,4,122,15
Republican,senator-valladares-bills-improve-affordability-increase-public-safety-and-expand.txt,5,70,8
Republican,senator-valladares-bills-improve-affordability-increase-public-safety-and-expand.txt,6,111,12
Republican,steven-choi-all-bills-deserve-vote-sacramento-not-just-democratic-bills.txt,1,130,13
Republican,steven-choi-all-bills-deserve-vote-sacramento-not-just-democratic-bills.txt,2,142,13
Republican,steven-choi-all-bills-deserve-vote-sacramento-not-just-democratic-bills.txt,3,107,8
Republican,steven-choi-all-bills-deserve-vote-sacramento-not-just-democratic-bills.txt,4,86,8
Republican,steven-choi-all-bills-deserve-vote-sacramento-not-just-democratic-bills.txt,5,96,11
Republican,steven-choi-all-bills-deserve-vote-sacramento-not-just-democratic-bills.txt,6,102,8
Republican,strongdixon-calls-on-legislature-to-pass-fentanyl-bills-strong.txt,1,85,9
Republican,strongdixon-calls-on-legislature-to-pass-fentanyl-bills-strong.txt,2,81,10
Republican,strongdixon-calls-on-legislature-to-pass-fentanyl-bills-strong.txt,3,89,10
Republican,top-10-failures-governor-newsom-his-second-term-begins.txt,1,147,15
Republican,top-10-failures-governor-newsom-his-second-term-begins.txt,2,126,13
Republican,top-10-failures-governor-newsom-his-second-term-begins.txt,3,123,12
Republican,top-10-failures-governor-newsom-his-second-term-begins.txt,4,99,12
Republican,top-10-failures-governor-newsom-his-second-term-begins.txt,5,127,13
Republican,top-10-failures-governor-newsom-his-second-term-begins.txt,6,146,15
Republican,top-10-failures-governor-newsom-his-second-term-begins.txt,7,129,13
Republican,top-10-failures-governor-newsom-his-second-term-begins.txt,8,145,17
Republican,top-10-failures-governor-newsom-his-second-term-begins.txt,9,141,16
